pid,cap,desc,oos_net,oos_m,oos_med,oos_d3,oos_dd,oos_min,oos_lv,oos_lot,full_m,full_d3,full_dd,full_lv
T042,0.85,マスク=23 / risk%=1 / FxRiskRefCap=0 / RefCap=0 / 倍率=1 / SCA_GJ重み=0.1,1178840.6747475965,2.1865088871748206,1.5120190611688238,0.7976134695123926,30.461884640691466,500000.0,108.7569129892981,0.79,3.058440324906364,2.0065017528622997,40.085272672737624,108.7569129892981
T042,0.8,マスク=23 / risk%=1 / FxRiskRefCap=0 / RefCap=0 / 倍率=1 / SCA_GJ重み=0.1,1175489.3139764983,2.182862663356011,1.5120190611688238,0.8100432307572403,30.461884640691466,500000.0,115.89194704888246,0.79,3.0611536131361694,2.0176503263270806,39.946288021069954,115.89194704888246
T039,0.75,マスク=23 / risk%=1 / FxRiskRefCap=0 / RefCap=0 / 倍率=1,1168974.0378630434,2.1757536085921902,1.0013030461234902,0.20255854099044956,40.766684965300264,500000.0,121.03412367333391,1.35,3.5375208854740547,2.10938368929825,51.12816724311715,119.3129531394046
T043,0.75,マスク=23 / risk%=1 / FxRiskRefCap=0 / RefCap=0 / 倍率=1 / SCA_GJ重み=0.15,1155275.8564481763,2.160717703713577,1.507031300207257,0.8228818825869455,29.534864162300977,500000.0,123.09144158459704,0.7000000000000001,3.0709084451919333,2.0220824038993612,39.96183690760708,123.09144158459704
T042,0.75,マスク=23 / risk%=1 / FxRiskRefCap=0 / RefCap=0 / 倍率=1 / SCA_GJ重み=0.1,1150256.1514205472,2.1551771739590775,1.5120190611688238,0.814320782412481,30.461884640691466,500000.0,123.38237328616887,0.71,3.009670044557433,1.967982492293907,40.12030463423994,123.38237328616887
T034,0.85,マスク=7 / risk%=1 / FxRiskRefCap=0 / RefCap=0 / 倍率=1,1139470.8692689892,2.143216652079749,1.0630144917622517,0.7467687117099997,30.5849474126207,500000.0,108.64522263920688,0.79,3.059869838882756,2.013892407698492,39.864944479014795,108.64522263920688
T034,0.8,マスク=7 / risk%=1 / FxRiskRefCap=0 / RefCap=0 / 倍率=1,1136056.0697974963,2.13941364090684,1.0630144917622517,0.7503028455861704,30.5849474126207,500000.0,115.70996133844203,0.78,3.064018938036095,2.0237731488824684,39.95540794796209,115.70996133844203
T034,,マスク=7 / risk%=1 / FxRiskRefCap=0 / RefCap=0 / 倍率=1,1133210.4827586208,2.136238593375084,1.0630144917622517,0.7357060276264482,30.5849474126207,500000.0,102.60644945574302,0.79,3.043149119675026,1.9834096029121895,40.03110628424311,85.74988432453436
T034,1.0,マスク=7 / risk%=1 / FxRiskRefCap=0 / RefCap=0 / 倍率=1,1133210.4827586208,2.136238593375084,1.0630144917622517,0.7357060276264482,30.5849474126207,500000.0,102.60644945574302,0.79,3.0439209640584775,1.9861851523287122,40.03110628424311,91.2966437789068
T034,0.9,マスク=7 / risk%=1 / FxRiskRefCap=0 / RefCap=0 / 倍率=1,1133210.4827586208,2.136238593375084,1.0630144917622517,0.7357060276264482,30.5849474126207,500000.0,102.60644945574302,0.79,3.0489486008236533,1.9990174661645987,40.03110628424311,102.49273588568116
