proposal_id,family,window,status,net,pf,dd_pct,monthly_pct,trades,pb_net,pb_n,sca1_net,sca1_n,sca2_net,sca2_n,description,parameter_json,elapsed,run_id
S2025,S02_timing,OOS,OK,85589.0,1.6031,2.2613,0.3112,329,20752,50,52540,245,12297,34,第2レンジ13-15時・締切16h・強制決済19h,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 19, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 15, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 16}",63.6,s2_oos_S2025_20260905101443_a412
S2026,S02_timing,OOS,OK,95574.0,1.6712,2.1933,0.3475,329,20752,50,52540,245,22282,34,第2レンジ13-15時・締切16h・強制決済22h,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 22, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 15, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 16}",63.6,s2_oos_S2026_20260905101546_00b0
S2027,S02_timing,OOS,OK,96180.0,1.5242,2.2983,0.3497,386,20752,50,52540,245,22888,91,第2レンジ13-15時・締切22h・強制決済23h,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 15, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 22}",63.7,s2_oos_S2027_20260905101650_dee6
S2028,S03_range_filter,OOS,OK,49532.0,1.1179,11.6731,0.1801,894,20752,50,52540,245,-23760,599,レンジ幅 0.2〜1.0ATR（既定0.40〜1.00）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.2, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 15, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",68.6,s2_oos_S2028_20260905101754_34ab
S2029,S03_range_filter,OOS,OK,75848.0,1.301,3.1723,0.2758,523,20752,50,52540,245,2556,228,レンジ幅 0.3〜1.0ATR（既定0.40〜1.00）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.3, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 15, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",63.6,s2_oos_S2029_20260905101902_fd49
S2030,S03_range_filter,OOS,OK,107798.0,1.7402,2.1309,0.392,330,20752,50,52540,245,34506,35,レンジ幅 0.5〜1.0ATR（既定0.40〜1.00）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.5, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 15, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",63.7,s2_oos_S2030_20260905102006_0695
S2031,S03_range_filter,OOS,OK,81336.0,1.5711,2.4186,0.2958,312,20752,50,52540,245,8044,17,レンジ幅 0.6〜1.2ATR（既定0.40〜1.00）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.2, ""Sca2MinRange"": 0.6, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 15, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",63.5,s2_oos_S2031_20260905102109_8835
S2032,S03_range_filter,OOS,OK,92230.0,1.5197,2.2406,0.3354,377,20752,50,52540,245,18938,82,レンジ幅 0.4〜0.8ATR（既定0.40〜1.00）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 0.8, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 15, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",63.6,s2_oos_S2032_20260905102213_ec12
S2033,S03_range_filter,OOS,OK,98372.0,1.543,2.2406,0.3577,381,20752,50,52540,245,25080,86,レンジ幅 0.4〜1.5ATR（既定0.40〜1.00）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.5, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 15, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",63.6,s2_oos_S2033_20260905102317_a0b1
S2034,S03_range_filter,OOS,OK,98372.0,1.543,2.2406,0.3577,381,20752,50,52540,245,25080,86,レンジ幅 0.4〜2.0ATR（既定0.40〜1.00）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 2.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 15, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",63.6,s2_oos_S2034_20260905102420_a2cd
S2035,S03_range_filter,OOS,OK,57676.0,1.1802,7.1139,0.2097,673,20752,50,52540,245,-15616,378,レンジ幅 0.25〜0.75ATR（既定0.40〜1.00）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 0.75, ""Sca2MinRange"": 0.25, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 15, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",68.6,s2_oos_S2035_20260905102524_b30d
