proposal_id,family,description,parameter_json
S4033,U4_rr,第4セッションRR2.1,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 2.1, ""Sca4RangeEnd"": 13, ""Sca4RangeStart"": 12, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}"
S4034,U4_rr,第4セッションRR2.4,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 2.4, ""Sca4RangeEnd"": 13, ""Sca4RangeStart"": 12, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}"
S4035,U5_range_filter,第4レンジ幅0.2〜0.8ATR,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 0.8, ""Sca4MinRange"": 0.2, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 13, ""Sca4RangeStart"": 12, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}"
S4036,U5_range_filter,第4レンジ幅0.2〜1.0ATR,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.2, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 13, ""Sca4RangeStart"": 12, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}"
S4037,U5_range_filter,第4レンジ幅0.3〜0.8ATR,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 0.8, ""Sca4MinRange"": 0.3, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 13, ""Sca4RangeStart"": 12, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}"
S4038,U5_range_filter,第4レンジ幅0.3〜1.4ATR,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.4, ""Sca4MinRange"": 0.3, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 13, ""Sca4RangeStart"": 12, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}"
S4039,U5_range_filter,第4レンジ幅0.5〜1.0ATR,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.5, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 13, ""Sca4RangeStart"": 12, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}"
S4040,U5_range_filter,第4レンジ幅0.5〜1.4ATR,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.4, ""Sca4MinRange"": 0.5, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 13, ""Sca4RangeStart"": 12, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}"
S4041,U6_buffer,第4バッファ0.02ATR,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.02, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 13, ""Sca4RangeStart"": 12, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}"
S4042,U6_buffer,第4バッファ0.05ATR,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.05, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 13, ""Sca4RangeStart"": 12, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}"
S4043,U6_buffer,第4バッファ0.1ATR,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.1, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 13, ""Sca4RangeStart"": 12, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}"
S4044,U7_friday_boost,第4セッション金曜も取引,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 13, ""Sca4RangeStart"": 12, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": false, ""Sca4TradeEnd"": 20}"
S4045,U7_friday_boost,第4セッション逆行ブーストなし,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 13, ""Sca4RangeStart"": 12, ""Sca4RevBoost"": false, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}"
S4046,U7_friday_boost,第4逆行ブースト1.5倍,"{""Sca4BoostMult"": 1.5, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 13, ""Sca4RangeStart"": 12, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}"
S4047,U7_friday_boost,第4逆行ブースト3.0倍,"{""Sca4BoostMult"": 3.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 13, ""Sca4RangeStart"": 12, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}"
