proposal_id,family,window,status,net,pf,dd_pct,monthly_pct,trades,pb_net,pb_n,sca1_net,sca1_n,sca2_net,sca2_n,pb2_net,pb2_n,sca3_net,sca3_n,sca4_net,sca4_n,description,parameter_json,elapsed,run_id
S4011,U1_window,IS,OK,591191.0,1.8295,5.9955,1.9706,612,196940,63,179120,242,123237,91,,,74955,121,16939,95,第4レンジ17-19時（締切20h・決済23h）,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 19, ""Sca4RangeStart"": 17, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}",98.8,s4_is_S4011_20260905220512_6571
S4012,U1_window,IS,FAILED,,,,,,,,,,,,,,,,,,第4レンジ17-20時（締切21h・決済23h・窓終了後の時間確保のため締切/決済を調整）,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 20, ""Sca4RangeStart"": 17, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 21}",9.5,s4_is_S4012_20260905220650_eddf
S4013,U1_window,IS,FAILED,,,,,,,,,,,,,,,,,,第4レンジ18-19時（締切20h・決済23h）,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 19, ""Sca4RangeStart"": 18, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}",24.4,s4_is_S4013_20260905220700_8a83
S4014,U1_window,IS,FAILED,,,,,,,,,,,,,,,,,,第4レンジ18-20時（締切21h・決済23h・窓終了後の時間確保のため締切/決済を調整）,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 20, ""Sca4RangeStart"": 18, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 21}",24.4,s4_is_S4014_20260905220724_8c22
S4015,U1_window,IS,FAILED,,,,,,,,,,,,,,,,,,第4レンジ18-21時（締切22h・決済23h・窓終了後の時間確保のため締切/決済を調整）,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 21, ""Sca4RangeStart"": 18, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 22}",24.4,s4_is_S4015_20260905220749_e37a
S4016,U1_window,IS,FAILED,,,,,,,,,,,,,,,,,,第4レンジ19-20時（締切21h・決済23h・窓終了後の時間確保のため締切/決済を調整）,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 20, ""Sca4RangeStart"": 19, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 21}",24.4,s4_is_S4016_20260905220813_6140
S4017,U1_window,IS,FAILED,,,,,,,,,,,,,,,,,,第4レンジ19-21時（締切22h・決済23h・窓終了後の時間確保のため締切/決済を調整）,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 21, ""Sca4RangeStart"": 19, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 22}",24.5,s4_is_S4017_20260905220838_ea16
S4018,U1_window,IS,OK,664090.0,1.8976,4.086,2.2136,563,196940,63,179120,242,123237,91,,,74955,121,78859,46,第4レンジ19-22時（締切23h・決済24h・窓終了後の時間確保のため締切/決済を調整）,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 24, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 22, ""Sca4RangeStart"": 19, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 23}",98.8,s4_is_S4018_20260905220902_2ed0
S4019,U1_window,IS,OK,546241.0,1.7864,5.2289,1.8208,526,196940,63,179120,242,123237,91,,,74955,121,-28011,9,第4レンジ20-21時（締切22h・決済23h・窓終了後の時間確保のため締切/決済を調整）,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 21, ""Sca4RangeStart"": 20, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 22}",93.7,s4_is_S4019_20260905221041_7ff7
S4020,U1_window,IS,OK,687027.0,1.9861,4.5853,2.2901,546,196940,63,179120,242,123237,91,,,74955,121,101796,29,第4レンジ20-22時（締切23h・決済24h・窓終了後の時間確保のため締切/決済を調整）,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 24, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 22, ""Sca4RangeStart"": 20, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 23}",93.8,s4_is_S4020_20260905221215_0689
S4021,U2_trade_end,IS,OK,585537.0,1.8939,4.6301,1.9518,520,196940,63,179120,242,123237,91,,,74955,121,11285,3,第4レンジ12-13時・締切15h,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 13, ""Sca4RangeStart"": 12, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 15}",93.8,s4_is_S4021_20260905221348_e3e4
