proposal_id,family,window,status,net,pf,dd_pct,monthly_pct,trades,pb_net,pb_n,sca1_net,sca1_n,sca2_net,sca2_n,pb2_net,pb2_n,sca3_net,sca3_n,description,parameter_json,elapsed,run_id
S3005,T1_window,OOS,OK,87340.0,1.4331,2.5444,0.3176,400,20752,50,52540,245,20733,94,,,-6685,11,第3レンジ8-9時（締切20h・決済23h）,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 9, ""Sca3RangeStart"": 8, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}",68.6,s3_oos_S3005_20260905190721_ada5
S3006,T1_window,OOS,OK,80837.0,1.3231,4.029,0.294,472,20752,50,52540,245,20733,94,,,-13188,83,第3レンジ8-10時（締切20h・決済23h）,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 10, ""Sca3RangeStart"": 8, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}",68.6,s3_oos_S3006_20260905190830_80ae
S3007,T1_window,OOS,OK,106564.0,1.3649,3.2361,0.3875,604,20752,50,52540,245,20733,94,,,12539,215,第3レンジ8-11時（締切20h・決済23h）,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 11, ""Sca3RangeStart"": 8, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}",68.6,s3_oos_S3007_20260905190938_0008
S3008,T1_window,OOS,OK,85755.0,1.3998,3.161,0.3118,423,20752,50,52540,245,20733,94,,,-8270,34,第3レンジ9-10時（締切20h・決済23h）,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 10, ""Sca3RangeStart"": 9, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}",68.5,s3_oos_S3008_20260905191047_22d3
S3009,T1_window,OOS,OK,97968.0,1.3166,3.459,0.3562,633,20752,50,52540,245,20733,94,,,3943,244,第3レンジ9-12時（締切20h・決済23h）,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 12, ""Sca3RangeStart"": 9, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}",68.6,s3_oos_S3009_20260905191156_aa8b
S3010,T1_window,OOS,OK,104646.0,1.4923,2.8122,0.3805,448,20752,50,52540,245,20733,94,,,10621,59,第3レンジ10-11時（締切20h・決済23h）,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 11, ""Sca3RangeStart"": 10, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}",68.6,s3_oos_S3010_20260905191304_1403
S3011,T1_window,OOS,OK,99263.0,1.3785,3.5207,0.361,526,20752,50,52540,245,20733,94,,,5238,137,第3レンジ10-12時（締切20h・決済23h）,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 12, ""Sca3RangeStart"": 10, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}",68.6,s3_oos_S3011_20260905191413_9edc
S3012,T1_window,OOS,OK,99297.0,1.3315,4.6396,0.3611,603,20752,50,52540,245,20733,94,,,5272,214,第3レンジ10-13時（締切20h・決済23h）,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 13, ""Sca3RangeStart"": 10, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}",68.6,s3_oos_S3012_20260905191521_694b
S3013,T1_window,OOS,OK,91831.0,1.4293,2.5649,0.3339,425,20752,50,52540,245,20733,94,,,-2194,36,第3レンジ11-12時（締切20h・決済23h）,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 12, ""Sca3RangeStart"": 11, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}",68.7,s3_oos_S3013_20260905191630_6541
S3014,T1_window,OOS,OK,75008.0,1.3013,4.131,0.2728,487,20752,50,52540,245,20733,94,,,-19017,98,第3レンジ11-13時（締切20h・決済23h）,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 13, ""Sca3RangeStart"": 11, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}",68.6,s3_oos_S3014_20260905191739_4d78
S3015,T1_window,OOS,OK,105510.0,1.5308,2.4506,0.3837,415,20752,50,52540,245,20733,94,,,11485,26,第3レンジ12-13時（締切20h・決済23h）,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 13, ""Sca3RangeStart"": 12, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}",68.5,s3_oos_S3015_20260905191847_d985
S3016,T2_trade_end,OOS,OK,110236.0,1.5119,2.4866,0.4009,453,20752,50,52540,245,20733,94,,,16211,64,第3レンジ9-11時・締切13h,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 11, ""Sca3RangeStart"": 9, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 13}",68.6,s3_oos_S3016_20260905191956_3f65
