id,family,template,symbol,period,params,priority,lot,note,is_net,is_pf,is_n,oos_net,oos_pf,oos_n,verdict
M119,RSI応答曲面_OBxOS,RSI_Reversal,GBPUSD,H4,"{'RSI_Overbought': 75, 'RSI_Oversold': 25}",S,0.01,RSI閾値の格子,3852.0,1.1632,57,8229.0,1.5162,55,PASS
M120,RSI応答曲面_OBxOS,RSI_Reversal,GBPUSD,H4,"{'RSI_Overbought': 75, 'RSI_Oversold': 30}",S,0.01,RSI閾値の格子,4520.0,1.197,56,8229.0,1.5162,55,PASS
M121,RSI応答曲面_OBxOS,RSI_Reversal,GBPUSD,H4,"{'RSI_Overbought': 80, 'RSI_Oversold': 20}",S,0.01,RSI閾値の格子,3852.0,1.1632,57,8229.0,1.5162,55,PASS
M122,RSI応答曲面_OBxOS,RSI_Reversal,GBPUSD,H4,"{'RSI_Overbought': 80, 'RSI_Oversold': 25}",S,0.01,RSI閾値の格子,3852.0,1.1632,57,8229.0,1.5162,55,PASS
M123,RSI応答曲面_OBxOS,RSI_Reversal,GBPUSD,H4,"{'RSI_Overbought': 80, 'RSI_Oversold': 30}",S,0.01,RSI閾値の格子,4520.0,1.197,56,8229.0,1.5162,55,PASS
M124,RSI応答曲面_レンジ閾値,RSI_Reversal,GBPUSD,H4,{'Range_Slope_Max_ATR': 0.1},S,0.01,レンジフィルター閾値の細密格子,330.0,1.0179,43,490.0,1.0343,43,PASS
M125,RSI応答曲面_レンジ閾値,RSI_Reversal,GBPUSD,H4,{'Range_Slope_Max_ATR': 0.15},S,0.01,レンジフィルター閾値の細密格子,5955.0,1.2945,51,3119.0,1.2078,47,PASS
M126,RSI応答曲面_レンジ閾値,RSI_Reversal,GBPUSD,H4,{'Range_Slope_Max_ATR': 0.25},S,0.01,レンジフィルター閾値の細密格子,1607.0,1.0619,62,11493.0,1.7053,59,PASS
M127,RSI応答曲面_レンジ閾値,RSI_Reversal,GBPUSD,H4,{'Range_Slope_Max_ATR': 0.3},S,0.01,レンジフィルター閾値の細密格子,1031.0,1.0365,67,10813.0,1.6175,62,PASS
M128,RSI応答曲面_レンジ閾値,RSI_Reversal,GBPUSD,H4,{'Range_Slope_Max_ATR': 0.4},S,0.01,レンジフィルター閾値の細密格子,-776.0,0.9765,77,11783.0,1.5283,76,reject
M136,VBO応答曲面_チャネルxスクイーズ,VolBreakout,USDJPY,H4,"{'Channel_Period': 10, 'Squeeze_Factor': 0.7}",S,0.01,チャネル期間×スクイーズ閾値の格子,8040.0,1.6771,36,-7672.0,0.3964,43,reject
M137,VBO応答曲面_チャネルxスクイーズ,VolBreakout,USDJPY,H4,"{'Channel_Period': 10, 'Squeeze_Factor': 0.8}",S,0.01,チャネル期間×スクイーズ閾値の格子,3990.0,1.1147,84,-1155.0,0.954,90,reject
M138,VBO応答曲面_チャネルxスクイーズ,VolBreakout,USDJPY,H4,"{'Channel_Period': 10, 'Squeeze_Factor': 1.2}",S,0.01,チャネル期間×スクイーズ閾値の格子,-2758.0,0.9798,277,-10733.0,0.8612,249,reject
M139,VBO応答曲面_チャネルxスクイーズ,VolBreakout,USDJPY,H4,"{'Channel_Period': 10, 'Squeeze_Factor': 1.5}",S,0.01,チャネル期間×スクイーズ閾値の格子,-14370.0,0.9102,310,8822.0,1.1179,257,reject
M140,VBO応答曲面_チャネルxスクイーズ,VolBreakout,USDJPY,H4,"{'Channel_Period': 15, 'Squeeze_Factor': 0.7}",S,0.01,チャネル期間×スクイーズ閾値の格子,3770.0,1.3071,32,-3631.0,0.5906,34,reject
M141,VBO応答曲面_チャネルxスクイーズ,VolBreakout,USDJPY,H4,"{'Channel_Period': 15, 'Squeeze_Factor': 0.8}",S,0.01,チャネル期間×スクイーズ閾値の格子,1028.0,1.0326,76,-180.0,0.9908,72,reject
M142,VBO応答曲面_チャネルxスクイーズ,VolBreakout,USDJPY,H4,"{'Channel_Period': 15, 'Squeeze_Factor': 1.2}",S,0.01,チャネル期間×スクイーズ閾値の格子,-3085.0,0.9754,250,-6713.0,0.9012,222,reject
M143,VBO応答曲面_チャネルxスクイーズ,VolBreakout,USDJPY,H4,"{'Channel_Period': 15, 'Squeeze_Factor': 1.5}",S,0.01,チャネル期間×スクイーズ閾値の格子,-13732.0,0.9059,282,9652.0,1.1468,233,reject
M144,VBO応答曲面_チャネルxスクイーズ,VolBreakout,USDJPY,H4,"{'Channel_Period': 25, 'Squeeze_Factor': 0.7}",S,0.01,チャネル期間×スクイーズ閾値の格子,4697.0,1.466,27,-4198.0,0.2931,20,reject
M145,VBO応答曲面_チャネルxスクイーズ,VolBreakout,USDJPY,H4,"{'Channel_Period': 25, 'Squeeze_Factor': 0.8}",S,0.01,チャネル期間×スクイーズ閾値の格子,2936.0,1.1211,58,-9252.0,0.3212,45,reject
M146,VBO応答曲面_チャネルxスクイーズ,VolBreakout,USDJPY,H4,"{'Channel_Period': 25, 'Squeeze_Factor': 1.2}",S,0.01,チャネル期間×スクイーズ閾値の格子,-4181.0,0.9569,196,-9273.0,0.8411,190,reject
M147,VBO応答曲面_チャネルxスクイーズ,VolBreakout,USDJPY,H4,"{'Channel_Period': 25, 'Squeeze_Factor': 1.5}",S,0.01,チャネル期間×スクイーズ閾値の格子,-9071.0,0.9228,227,2667.0,1.0452,204,reject
M148,VBO応答曲面_チャネルxスクイーズ,VolBreakout,USDJPY,H4,"{'Channel_Period': 30, 'Squeeze_Factor': 0.7}",S,0.01,チャネル期間×スクイーズ閾値の格子,-1906.0,0.8224,25,-3156.0,0.2718,16,reject
M149,VBO応答曲面_チャネルxスクイーズ,VolBreakout,USDJPY,H4,"{'Channel_Period': 30, 'Squeeze_Factor': 0.8}",S,0.01,チャネル期間×スクイーズ閾値の格子,1666.0,1.0707,54,-6725.0,0.3766,38,reject
M150,VBO応答曲面_チャネルxスクイーズ,VolBreakout,USDJPY,H4,"{'Channel_Period': 30, 'Squeeze_Factor': 1.2}",S,0.01,チャネル期間×スクイーズ閾値の格子,-7029.0,0.9233,174,-11767.0,0.7931,178,reject
M151,VBO応答曲面_チャネルxスクイーズ,VolBreakout,USDJPY,H4,"{'Channel_Period': 30, 'Squeeze_Factor': 1.5}",S,0.01,チャネル期間×スクイーズ閾値の格子,-12460.0,0.8894,205,-2352.0,0.9598,192,reject
M156,Carry応答曲面_帯xMA,Carry,AUDJPY,D1,"{'Hyst_ATR_Mult': 0.25, 'TrendMA_Period': 100}",S,0.01,ヒステリシス帯×トレンドMA期間の格子,22347.0,2.3414,17,11355.0,2.2227,16,PASS
M157,Carry応答曲面_帯xMA,Carry,AUDJPY,D1,"{'Hyst_ATR_Mult': 0.25, 'TrendMA_Period': 150}",S,0.01,ヒステリシス帯×トレンドMA期間の格子,26997.0,2.9797,12,4052.0,1.4265,15,PASS
M158,Carry応答曲面_帯xMA,Carry,AUDJPY,D1,"{'Hyst_ATR_Mult': 0.25, 'TrendMA_Period': 250}",S,0.01,ヒステリシス帯×トレンドMA期間の格子,14304.0,1.9181,16,10470.0,2.9134,8,PASS
M159,Carry応答曲面_帯xMA,Carry,AUDJPY,D1,"{'Hyst_ATR_Mult': 0.25, 'TrendMA_Period': 300}",S,0.01,ヒステリシス帯×トレンドMA期間の格子,16272.0,2.23,12,7514.0,2.5332,8,PASS
M160,Carry応答曲面_帯xMA,Carry,AUDJPY,D1,"{'Hyst_ATR_Mult': 0.5, 'TrendMA_Period': 100}",S,0.01,ヒステリシス帯×トレンドMA期間の格子,27887.0,2.8645,10,9247.0,1.8365,13,PASS
M161,Carry応答曲面_帯xMA,Carry,AUDJPY,D1,"{'Hyst_ATR_Mult': 0.5, 'TrendMA_Period': 150}",S,0.01,ヒステリシス帯×トレンドMA期間の格子,30075.0,4.3849,8,7862.0,2.1426,9,PASS
M162,Carry応答曲面_帯xMA,Carry,AUDJPY,D1,"{'Hyst_ATR_Mult': 0.5, 'TrendMA_Period': 250}",S,0.01,ヒステリシス帯×トレンドMA期間の格子,18170.0,2.5666,10,11445.0,3.7665,6,PASS
M163,Carry応答曲面_帯xMA,Carry,AUDJPY,D1,"{'Hyst_ATR_Mult': 0.5, 'TrendMA_Period': 300}",S,0.01,ヒステリシス帯×トレンドMA期間の格子,13854.0,1.9436,12,11019.0,12.685,4,PASS
