book,window,k,block_length,ruin_frac,initial,n_paths,max_horizon,seed,n_trades,window_months,median_months_double,p_double,p_ruin,p_unresolved,n_double,n_ruin,n_unresolved,max_trades,median_trades_double,median_final_double,median_final_ruin
fx,OOS,16,20,0.1,500000,10000,3,20260911,1372,55.0,13.790087463556851,0.9082,0.0805,0.0113,9082,805,113,4116,344.0,1027300.4411807822,49245.035662980474
fx,OOS,24,20,0.1,500000,10000,3,20260911,1372,55.0,7.215743440233236,0.7954,0.2045,0.0001,7954,2045,1,4116,180.0,1038130.0499200702,48699.26350126606
fx,OOS,32,20,0.1,500000,10000,3,20260911,1372,55.0,4.048833819241983,0.7072,0.2928,0.0,7072,2928,0,4116,101.0,1047592.783029015,48005.72070342338
fx,OOS,0.5,20,0.2,500000,10000,3,20260911,1372,55.0,,0.0,0.0,1.0,0,0,10000,4116,,,
fx,OOS,1,20,0.2,500000,10000,3,20260911,1372,55.0,147.76239067055394,0.0603,0.0,0.9397,603,0,9397,4116,3686.0,1001913.5011666347,
fx,OOS,2,20,0.2,500000,10000,3,20260911,1372,55.0,111.5634110787172,0.6657,0.0,0.3343,6657,0,3343,4116,2783.0,1003648.7111977623,
fx,OOS,3,20,0.2,500000,10000,3,20260911,1372,55.0,81.33746355685132,0.8609,0.0,0.1391,8609,0,1391,4116,2029.0,1005689.2897495644,
fx,OOS,4,20,0.2,500000,10000,3,20260911,1372,55.0,62.616618075801746,0.9155,0.0,0.0845,9155,0,845,4116,1562.0,1007437.6077125913,
fx,OOS,6,20,0.2,500000,10000,3,20260911,1372,55.0,42.21209912536443,0.9505,0.002,0.0475,9505,20,475,4116,1053.0,1010794.2967092989,99378.73322258444
fx,OOS,8,20,0.2,500000,10000,3,20260911,1372,55.0,31.208090379008745,0.9552,0.0125,0.0323,9552,125,323,4116,778.5,1014395.2220244153,99417.64786293905
fx,OOS,12,20,0.2,500000,10000,3,20260911,1372,55.0,19.38228862973761,0.9198,0.0696,0.0106,9198,696,106,4116,483.5,1020210.6597082757,98752.67622702982
fx,OOS,16,20,0.2,500000,10000,3,20260911,1372,55.0,12.40706997084548,0.8458,0.1531,0.0011,8458,1531,11,4116,309.5,1027249.1025881674,98204.3155073562
fx,OOS,24,20,0.2,500000,10000,3,20260911,1372,55.0,6.293731778425656,0.7264,0.2736,0.0,7264,2736,0,4116,157.0,1037796.6846021693,97204.9464760284
fx,OOS,32,20,0.2,500000,10000,3,20260911,1372,55.0,3.5276967930029155,0.6469,0.3531,0.0,6469,3531,0,4116,88.0,1047213.5784784029,96079.72092545479
fx,OOS,0.5,20,0.3,500000,10000,3,20260911,1372,55.0,,0.0,0.0,1.0,0,0,10000,4116,,,
fx,OOS,1,20,0.3,500000,10000,3,20260911,1372,55.0,147.76239067055394,0.0603,0.0,0.9397,603,0,9397,4116,3686.0,1001913.5011666347,
fx,OOS,2,20,0.3,500000,10000,3,20260911,1372,55.0,111.5634110787172,0.6657,0.0,0.3343,6657,0,3343,4116,2783.0,1003648.7111977623,
fx,OOS,3,20,0.3,500000,10000,3,20260911,1372,55.0,81.33746355685132,0.8609,0.0,0.1391,8609,0,1391,4116,2029.0,1005689.2897495644,
fx,OOS,4,20,0.3,500000,10000,3,20260911,1372,55.0,62.616618075801746,0.9155,0.0005,0.084,9155,5,840,4116,1562.0,1007437.6077125913,149383.00815522159
fx,OOS,6,20,0.3,500000,10000,3,20260911,1372,55.0,42.09183673469388,0.9494,0.0096,0.041,9494,96,410,4116,1050.0,1010797.1659030052,148885.22387109807
