book,window,k,block_length,ruin_frac,initial,n_paths,max_horizon,seed,n_trades,window_months,median_months_double,p_double,p_ruin,p_unresolved,n_double,n_ruin,n_unresolved,max_trades,median_trades_double,median_final_double,median_final_ruin
gold,OOS,6,20,0.3,500000,10000,3,20260911,470,55.0,26.79787234042553,1.0,0.0,0.0,10000,0,0,1410,229.0,1020081.4173397627,
gold,OOS,8,20,0.3,500000,10000,3,20260911,470,55.0,20.654255319148938,1.0,0.0,0.0,10000,0,0,1410,176.5,1026124.410517249,
gold,OOS,12,20,0.3,500000,10000,3,20260911,470,55.0,14.393617021276595,0.9988,0.0012,0.0,9988,12,0,1410,123.0,1037869.6129630168,148457.3789284355
gold,OOS,16,20,0.3,500000,10000,3,20260911,470,55.0,11.351063829787234,0.9902,0.0098,0.0,9902,98,0,1410,97.0,1047535.474708085,146412.3903088327
gold,OOS,24,20,0.3,500000,10000,3,20260911,470,55.0,7.6063829787234045,0.9084,0.0916,0.0,9084,916,0,1410,65.0,1069698.9184687855,115058.21276757978
gold,OOS,32,20,0.3,500000,10000,3,20260911,470,55.0,5.851063829787234,0.8771,0.1229,0.0,8771,1229,0,1410,50.0,1086005.7716703613,141905.9104559889
gold,OOS,0.5,50,0.1,500000,10000,3,20260911,470,55.0,156.9255319148936,0.0019,0.0,0.9981,19,0,9981,1410,1341.0,1001650.2286074124,
gold,OOS,1,50,0.1,500000,10000,3,20260911,470,55.0,134.3404255319149,0.5197,0.0,0.4803,5197,0,4803,1410,1148.0,1003573.4359628421,
gold,OOS,2,50,0.1,500000,10000,3,20260911,470,55.0,81.32978723404256,0.9697,0.0,0.0303,9697,0,303,1410,695.0,1007244.2124144507,
gold,OOS,3,50,0.1,500000,10000,3,20260911,470,55.0,56.22872340425532,0.9934,0.0,0.0066,9934,0,66,1410,480.5,1010361.8507454132,
gold,OOS,4,50,0.1,500000,10000,3,20260911,470,55.0,43.648936170212764,0.9975,0.0,0.0025,9975,0,25,1410,373.0,1014101.9144564869,
gold,OOS,6,50,0.1,500000,10000,3,20260911,470,55.0,29.02127659574468,0.9993,0.0,0.0007,9993,0,7,1410,248.0,1020081.0214660203,
gold,OOS,8,50,0.1,500000,10000,3,20260911,470,55.0,22.351063829787233,0.9995,0.0,0.0005,9995,0,5,1410,191.0,1028867.7036875305,
gold,OOS,12,50,0.1,500000,10000,3,20260911,470,55.0,16.73404255319149,0.9996,0.0,0.0004,9996,0,4,1410,143.0,1037962.8730829067,
gold,OOS,16,50,0.1,500000,10000,3,20260911,470,55.0,14.861702127659575,0.9995,0.0,0.0005,9995,0,5,1410,127.0,1052978.9028466765,
gold,OOS,24,50,0.1,500000,10000,3,20260911,470,55.0,12.98936170212766,0.9983,0.0012,0.0005,9983,12,5,1410,111.0,1075366.443922566,49186.70546865847
gold,OOS,32,50,0.1,500000,10000,3,20260911,470,55.0,10.76595744680851,0.9832,0.0166,0.0002,9832,166,2,1410,92.0,1085525.7273445814,48519.35630289682
gold,OOS,0.5,50,0.2,500000,10000,3,20260911,470,55.0,156.9255319148936,0.0019,0.0,0.9981,19,0,9981,1410,1341.0,1001650.2286074124,
gold,OOS,1,50,0.2,500000,10000,3,20260911,470,55.0,134.3404255319149,0.5197,0.0,0.4803,5197,0,4803,1410,1148.0,1003573.4359628421,
gold,OOS,2,50,0.2,500000,10000,3,20260911,470,55.0,81.32978723404256,0.9697,0.0,0.0303,9697,0,303,1410,695.0,1007244.2124144507,
gold,OOS,3,50,0.2,500000,10000,3,20260911,470,55.0,56.22872340425532,0.9934,0.0,0.0066,9934,0,66,1410,480.5,1010361.8507454132,
gold,OOS,4,50,0.2,500000,10000,3,20260911,470,55.0,43.648936170212764,0.9975,0.0,0.0025,9975,0,25,1410,373.0,1014101.9144564869,
gold,OOS,6,50,0.2,500000,10000,3,20260911,470,55.0,29.02127659574468,0.9993,0.0,0.0007,9993,0,7,1410,248.0,1020081.0214660203,
gold,OOS,8,50,0.2,500000,10000,3,20260911,470,55.0,22.351063829787233,0.9995,0.0,0.0005,9995,0,5,1410,191.0,1028867.7036875305,
gold,OOS,12,50,0.2,500000,10000,3,20260911,470,55.0,16.73404255319149,0.9996,0.0,0.0004,9996,0,4,1410,143.0,1037962.8730829067,
gold,OOS,16,50,0.2,500000,10000,3,20260911,470,55.0,14.861702127659575,0.9995,0.0,0.0005,9995,0,5,1410,127.0,1052978.9028466765,
gold,OOS,24,50,0.2,500000,10000,3,20260911,470,55.0,12.75531914893617,0.99,0.01,0.0,9900,100,0,1410,109.0,1075199.2888420369,98052.36561167755
gold,OOS,32,50,0.2,500000,10000,3,20260911,470,55.0,9.946808510638299,0.9426,0.0574,0.0,9426,574,0,1410,85.0,1085173.5994828953,96948.96183907583
gold,OOS,0.5,50,0.3,500000,10000,3,20260911,470,55.0,156.9255319148936,0.0019,0.0,0.9981,19,0,9981,1410,1341.0,1001650.2286074124,
gold,OOS,1,50,0.3,500000,10000,3,20260911,470,55.0,134.3404255319149,0.5197,0.0,0.4803,5197,0,4803,1410,1148.0,1003573.4359628421,
gold,OOS,2,50,0.3,500000,10000,3,20260911,470,55.0,81.32978723404256,0.9697,0.0,0.0303,9697,0,303,1410,695.0,1007244.2124144507,
gold,OOS,3,50,0.3,500000,10000,3,20260911,470,55.0,56.22872340425532,0.9934,0.0,0.0066,9934,0,66,1410,480.5,1010361.8507454132,
gold,OOS,4,50,0.3,500000,10000,3,20260911,470,55.0,43.648936170212764,0.9975,0.0,0.0025,9975,0,25,1410,373.0,1014101.9144564869,
gold,OOS,6,50,0.3,500000,10000,3,20260911,470,55.0,29.02127659574468,0.9993,0.0,0.0007,9993,0,7,1410,248.0,1020081.0214660203,
gold,OOS,8,50,0.3,500000,10000,3,20260911,470,55.0,22.351063829787233,0.9995,0.0,0.0005,9995,0,5,1410,191.0,1028867.7036875305,
gold,OOS,12,50,0.3,500000,10000,3,20260911,470,55.0,16.73404255319149,0.9996,0.0,0.0004,9996,0,4,1410,143.0,1037962.8730829067,
gold,OOS,16,50,0.3,500000,10000,3,20260911,470,55.0,14.861702127659575,0.9977,0.0019,0.0004,9977,19,4,1410,127.0,1052975.8708009045,148736.99148318137
gold,OOS,24,50,0.3,500000,10000,3,20260911,470,55.0,12.404255319148936,0.9682,0.0318,0.0,9682,318,0,1410,106.0,1075599.0972208472,146594.29488746577
gold,OOS,32,50,0.3,500000,10000,3,20260911,470,55.0,9.01063829787234,0.8763,0.1237,0.0,8763,1237,0,1410,77.0,1086994.1534760543,145640.13730530313
